drill_date,n,isMatch
2019-01-07,24,FALSE
2019-01-08,24,FALSE
2019-01-09,24,FALSE
2019-01-10,24,FALSE
2019-01-11,24,FALSE
2019-01-12,23,NA
2019-01-14,23,NA
2019-01-15,21,FALSE
2019-01-16,23,NA
2019-01-18,22,FALSE
2019-01-19,23,FALSE
2019-01-20,23,NA
2019-01-21,23,NA
2019-01-23,21,FALSE
2019-01-24,15,FALSE
2019-01-25,21,FALSE
2019-01-26,21,FALSE
2019-01-27,21,TRUE
2019-01-29,21,FALSE
2019-01-30,21,FALSE
2019-01-31,21,NA
2019-02-01,21,NA
2019-02-02,15,TRUE
2019-03-18,21,NA
2019-03-19,24,NA
2019-03-20,24,NA
2019-03-21,18,TRUE
2019-03-23,21,NA
2019-03-24,22,NA
2019-03-25,22,NA
2019-03-26,17,TRUE
2019-05-27,18,FALSE
2019-05-28,25,NA
2019-05-29,26,NA
2019-05-30,6,NA
2019-05-31,28,NA
2019-06-01,19,NA
2019-06-03,27,FALSE
2019-06-04,27,NA
2019-06-05,17,TRUE
2019-06-07,22,FALSE
2019-06-08,22,NA
2019-06-09,19,TRUE
2019-06-12,23,FALSE
2019-06-13,23,FALSE
2019-06-14,22,FALSE
2019-06-16,23,FALSE
2019-06-17,23,FALSE
2019-06-18,20,TRUE
2019-06-20,21,NA
2019-06-21,23,FALSE
2019-06-22,20,TRUE
2019-06-24,18,FALSE
2019-06-25,23,FALSE
2019-06-26,20,TRUE
2019-06-28,23,FALSE
2019-06-29,23,FALSE
2019-06-30,20,TRUE
2019-07-02,23,FALSE
2019-07-03,20,TRUE
2019-07-04,7,FALSE
2019-07-05,23,FALSE
2019-07-06,23,FALSE
2019-07-07,20,TRUE
2019-09-02,18,NA
2019-09-03,26,FALSE
2019-09-04,26,FALSE
2019-09-05,25,FALSE
2019-09-06,21,TRUE
2019-09-08,20,FALSE
2019-09-09,20,FALSE
2019-09-10,18,TRUE
2019-10-07,6,FALSE
2019-10-08,24,FALSE
2019-10-09,25,NA
2019-10-10,25,FALSE
2019-10-11,22,TRUE
2019-10-13,24,FALSE
2019-10-14,24,FALSE
2019-10-15,19,TRUE
2019-11-03,19,NA
2019-11-04,18,FALSE
2019-11-05,18,FALSE
2019-11-06,19,NA
2019-11-07,2,NA
2019-11-08,19,NA
2019-11-09,15,NA
2019-11-10,2,NA
2019-11-11,15,FALSE
2019-11-12,23,FALSE
2019-11-13,23,FALSE
2019-11-14,23,FALSE
2019-11-15,20,TRUE
2019-11-17,23,FALSE
2019-11-18,23,FALSE
2019-11-19,19,TRUE
2020-01-07,25,FALSE
2020-01-08,25,FALSE
2020-01-10,24,FALSE
2020-01-11,26,NA
2020-01-12,25,NA
2020-01-14,26,FALSE
2020-01-15,25,FALSE
2020-01-16,25,FALSE
2020-01-17,23,FALSE
2020-01-18,23,NA
2020-01-20,24,FALSE
2020-01-21,24,FALSE
2020-01-22,25,FALSE
2020-01-23,24,FALSE
2020-01-24,25,NA
2020-01-26,22,FALSE
2020-01-27,22,FALSE
2020-01-28,22,FALSE
2020-01-30,22,FALSE
2020-01-31,22,FALSE
2020-02-01,17,TRUE
2020-11-09,13,FALSE
2020-11-10,21,FALSE
2020-11-11,23,FALSE
2020-11-12,19,TRUE
2020-11-13,13,FALSE
2020-11-14,23,FALSE
2020-11-15,23,FALSE
2020-11-16,19,TRUE
2020-12-01,20,FALSE
2020-12-02,22,NA
2020-12-03,22,FALSE
2020-12-04,23,FALSE
2020-12-06,24,FALSE
2020-12-07,23,FALSE
2020-12-08,23,FALSE
2020-12-09,18,TRUE
2021-01-10,37,NA
2021-01-11,37,NA
2021-01-12,38,FALSE
2021-01-13,36,FALSE
2021-01-15,38,NA
2021-01-16,38,NA
2021-01-17,37,FALSE
2021-01-19,38,NA
2021-01-20,37,NA
2021-01-21,36,NA
2021-01-22,37,FALSE
2021-01-23,35,FALSE
2021-01-25,25,FALSE
2021-01-26,24,FALSE
2021-01-27,25,FALSE
2021-01-29,25,FALSE
2021-01-30,24,FALSE
2021-02-01,20,TRUE
2021-03-22,13,FALSE
2021-03-23,25,NA
2021-03-24,26,FALSE
2021-03-25,25,TRUE
2021-03-27,23,FALSE
2021-03-28,23,TRUE
2021-05-25,20,FALSE
2021-05-26,25,FALSE
2021-05-27,27,NA
2021-05-28,27,NA
2021-05-29,27,FALSE
2021-05-30,23,TRUE
2021-06-01,25,FALSE
2021-06-02,25,FALSE
2021-06-03,20,TRUE
2021-06-04,14,FALSE
2021-06-05,24,FALSE
2021-06-06,19,TRUE
2021-06-08,22,FALSE
2021-06-09,20,TRUE
2021-07-06,23,FALSE
2021-07-07,22,NA
2021-07-08,1,NA
2021-07-09,23,FALSE
2021-07-10,23,FALSE
2021-07-11,19,TRUE
2021-07-12,9,FALSE
2021-07-13,22,NA
2021-07-14,22,FALSE
2021-07-15,18,TRUE
2021-07-16,12,FALSE
2021-07-17,23,FALSE
2021-07-18,19,TRUE
2021-07-20,17,FALSE
2021-07-21,23,FALSE
2021-07-22,1,NA
2021-07-23,24,FALSE
2021-07-24,23,FALSE
2021-07-25,14,NA
2021-07-27,21,FALSE
2021-07-28,23,FALSE
2021-07-29,19,TRUE
2021-07-30,11,FALSE
2021-07-31,23,FALSE
2021-08-01,16,NA
2021-08-30,17,NA
2021-08-31,25,FALSE
2021-09-01,24,NA
2021-09-02,22,TRUE
2021-09-04,22,FALSE
2021-09-05,19,TRUE
2021-09-06,11,FALSE
2021-09-07,23,FALSE
2021-09-08,20,TRUE
2021-10-04,15,FALSE
2021-10-05,26,FALSE
2021-10-06,26,FALSE
2021-10-07,20,TRUE
2021-10-08,15,FALSE
2021-10-09,23,FALSE
2021-10-10,20,TRUE
2021-10-11,2,NA
2021-10-12,26,FALSE
2021-10-13,22,TRUE
2021-11-08,6,NA
2021-11-09,26,NA
2021-11-10,25,NA
2021-11-11,25,FALSE
2021-11-12,23,TRUE
2021-11-13,1,NA
2021-11-14,16,FALSE
2021-11-15,24,FALSE
2021-11-16,21,TRUE
2021-12-06,23,FALSE
2021-12-07,24,FALSE
2021-12-08,23,FALSE
2021-12-09,24,FALSE
2021-12-10,24,FALSE
2021-12-11,25,FALSE
2021-12-13,25,FALSE
2021-12-14,25,FALSE
2021-12-16,25,FALSE
2021-12-17,25,FALSE
2021-12-18,21,TRUE
2022-01-08,16,FALSE
2022-01-09,16,FALSE
2022-01-10,17,FALSE
2022-01-11,18,FALSE
2022-01-12,19,FALSE
2022-01-13,18,NA
2022-01-14,1,NA
2022-01-15,18,FALSE
2022-01-16,19,FALSE
2022-01-17,19,NA
2022-01-19,18,FALSE
2022-01-20,19,FALSE
2022-01-21,19,FALSE
2022-01-24,17,FALSE
2022-01-25,24,FALSE
2022-01-26,26,FALSE
2022-01-27,24,TRUE
2022-01-28,16,FALSE
2022-01-29,25,FALSE
2022-01-30,21,TRUE
2022-02-01,24,FALSE
2022-02-02,21,TRUE
2022-03-21,15,FALSE
2022-03-22,26,FALSE
2022-03-23,25,FALSE
2022-03-24,21,TRUE
2022-03-26,23,FALSE
2022-03-27,22,TRUE
2022-03-28,13,FALSE
2022-03-29,26,NA
2022-03-30,21,TRUE
